YearMonth,Category,BudgetedCost
2024-01,Chemicals,2352384.63
2024-01,Electrical,2015342.99
2024-01,Hardware & Fasteners,2386420.51
2024-01,Machinery Parts,1904500.33
2024-01,Packaging,2003170.71
2024-01,Raw Materials,2567619.37
2024-02,Chemicals,1894841.38
2024-02,Electrical,1366174.09
2024-02,Hardware & Fasteners,1800313.64
2024-02,Machinery Parts,2373514.73
2024-02,Packaging,1511202.45
2024-02,Raw Materials,2696774.81
2024-03,Chemicals,2345538.11
2024-03,Electrical,1584693.71
2024-03,Hardware & Fasteners,2530683.9
2024-03,Machinery Parts,1929070.33
2024-03,Packaging,2666173.47
2024-03,Raw Materials,2580733.59
2024-04,Chemicals,2589601.84
2024-04,Electrical,2126775.13
2024-04,Hardware & Fasteners,1600677.88
2024-04,Machinery Parts,1749029.77
2024-04,Packaging,1738233.96
2024-04,Raw Materials,2610597.15
2024-05,Chemicals,1864961.18
2024-05,Electrical,2061935.29
2024-05,Hardware & Fasteners,1698902.46
2024-05,Machinery Parts,2858065.54
2024-05,Packaging,1406395.46
2024-05,Raw Materials,2740255.34
2024-06,Chemicals,2416444.33
2024-06,Electrical,1667285.05
2024-06,Hardware & Fasteners,2304007.09
2024-06,Machinery Parts,2134161.67
2024-06,Packaging,2371563.09
2024-06,Raw Materials,3355508.89
2024-07,Chemicals,2556168.26
2024-07,Electrical,2013594.67
2024-07,Hardware & Fasteners,2104952.21
2024-07,Machinery Parts,2425203.52
2024-07,Packaging,2044194.53
2024-07,Raw Materials,2862874.42
2024-08,Chemicals,2292348.36
2024-08,Electrical,1562959.33
2024-08,Hardware & Fasteners,1773265.86
2024-08,Machinery Parts,1904150.47
2024-08,Packaging,1946691.05
2024-08,Raw Materials,3188917.99
2024-09,Chemicals,2151997.33
2024-09,Electrical,1978554.32
2024-09,Hardware & Fasteners,2249107.99
2024-09,Machinery Parts,2762719.94
2024-09,Packaging,1861318.31
2024-09,Raw Materials,3024987.4
2024-10,Chemicals,1920348.56
2024-10,Electrical,1666768.03
2024-10,Hardware & Fasteners,2213724.84
2024-10,Machinery Parts,1672485.54
2024-10,Packaging,1911794.79
2024-10,Raw Materials,2534180.76
2024-11,Chemicals,2630569.72
2024-11,Electrical,1873367.88
2024-11,Hardware & Fasteners,1867784.16
2024-11,Machinery Parts,1704621.18
2024-11,Packaging,2110220.84
2024-11,Raw Materials,2753750.38
2024-12,Chemicals,2143705.51
2024-12,Electrical,1773211.15
2024-12,Hardware & Fasteners,2060849.26
2024-12,Machinery Parts,1997345.54
2024-12,Packaging,1675995.33
2024-12,Raw Materials,2334634.49
2025-01,Chemicals,2030602.39
2025-01,Electrical,3187098.39
2025-01,Hardware & Fasteners,1516996.68
2025-01,Machinery Parts,2393373.51
2025-01,Packaging,2197069.95
2025-01,Raw Materials,2941689.68
2025-02,Chemicals,1116716.78
2025-02,Electrical,1288617.64
2025-02,Hardware & Fasteners,1685295.65
2025-02,Machinery Parts,2491757.06
2025-02,Packaging,1594497.16
2025-02,Raw Materials,2656964.5
2025-03,Chemicals,1749025.6
2025-03,Electrical,2065141.1
2025-03,Hardware & Fasteners,2299963.93
2025-03,Machinery Parts,2549386.77
2025-03,Packaging,1587240.98
2025-03,Raw Materials,3370891.43
2025-04,Chemicals,1912493.14
2025-04,Electrical,1856118.65
2025-04,Hardware & Fasteners,2026227.91
2025-04,Machinery Parts,1478189.16
2025-04,Packaging,1932236.99
2025-04,Raw Materials,1491899.36
2025-05,Chemicals,1988251.0
2025-05,Electrical,2306492.47
2025-05,Hardware & Fasteners,1519409.27
2025-05,Machinery Parts,2064103.01
2025-05,Packaging,2806829.24
2025-05,Raw Materials,2259066.24
2025-06,Chemicals,2032133.15
2025-06,Electrical,2185277.93
2025-06,Hardware & Fasteners,2287129.4
2025-06,Machinery Parts,1587333.33
2025-06,Packaging,2786475.73
2025-06,Raw Materials,3035057.45
2025-07,Chemicals,2095528.48
2025-07,Electrical,3230482.33
2025-07,Hardware & Fasteners,1872807.6
2025-07,Machinery Parts,1655890.72
2025-07,Packaging,2195666.71
2025-07,Raw Materials,3067740.17
2025-08,Chemicals,2067955.62
2025-08,Electrical,3137064.71
2025-08,Hardware & Fasteners,2042541.92
2025-08,Machinery Parts,1710213.02
2025-08,Packaging,1990791.37
2025-08,Raw Materials,2662442.95
2025-09,Chemicals,1580595.33
2025-09,Electrical,3203420.52
2025-09,Hardware & Fasteners,1923332.77
2025-09,Machinery Parts,2429571.12
2025-09,Packaging,2597201.16
2025-09,Raw Materials,2451293.06
2025-10,Chemicals,2540149.92
2025-10,Electrical,2236200.73
2025-10,Hardware & Fasteners,1490676.24
2025-10,Machinery Parts,2419504.03
2025-10,Packaging,2281930.75
2025-10,Raw Materials,2942814.8
2025-11,Chemicals,2011457.11
2025-11,Electrical,1784807.87
2025-11,Hardware & Fasteners,1762448.15
2025-11,Machinery Parts,2384469.94
2025-11,Packaging,1903842.49
2025-11,Raw Materials,3354932.14
2025-12,Chemicals,81420.99
2025-12,Electrical,46178.57
2025-12,Hardware & Fasteners,37998.08
2025-12,Machinery Parts,64588.2
2025-12,Packaging,65477.21
2025-12,Raw Materials,446725.67
