SnapshotDate,ProductID,WarehouseID,StockOnHand,SafetyStock
2024-01-01,PRD001,WH01,637,308
2024-01-08,PRD001,WH01,648,308
2024-01-15,PRD001,WH01,548,308
2024-01-22,PRD001,WH01,513,308
2024-01-29,PRD001,WH01,563,308
2024-02-05,PRD001,WH01,493,308
2024-02-12,PRD001,WH01,455,308
2024-02-19,PRD001,WH01,549,308
2024-02-26,PRD001,WH01,445,308
2024-03-04,PRD001,WH01,456,308
2024-03-11,PRD001,WH01,367,308
2024-03-18,PRD001,WH01,361,308
2024-03-25,PRD001,WH01,269,308
2024-04-01,PRD001,WH01,243,308
2024-04-08,PRD001,WH01,207,308
2024-04-15,PRD001,WH01,264,308
2024-04-22,PRD001,WH01,345,308
2024-04-29,PRD001,WH01,393,308
2024-05-06,PRD001,WH01,309,308
2024-05-13,PRD001,WH01,234,308
2024-05-20,PRD001,WH01,123,308
2024-05-27,PRD001,WH01,222,308
2024-06-03,PRD001,WH01,313,308
2024-06-10,PRD001,WH01,343,308
2024-06-17,PRD001,WH01,350,308
2024-06-24,PRD001,WH01,233,308
2024-07-01,PRD001,WH01,298,308
2024-07-08,PRD001,WH01,361,308
2024-07-15,PRD001,WH01,367,308
2024-07-22,PRD001,WH01,295,308
2024-07-29,PRD001,WH01,200,308
2024-08-05,PRD001,WH01,187,308
2024-08-12,PRD001,WH01,109,308
2024-08-19,PRD001,WH01,202,308
2024-08-26,PRD001,WH01,127,308
2024-09-02,PRD001,WH01,162,308
2024-09-09,PRD001,WH01,178,308
2024-09-16,PRD001,WH01,142,308
2024-09-23,PRD001,WH01,154,308
2024-09-30,PRD001,WH01,181,308
2024-10-07,PRD001,WH01,229,308
2024-10-14,PRD001,WH01,318,308
2024-10-21,PRD001,WH01,260,308
2024-10-28,PRD001,WH01,356,308
2024-11-04,PRD001,WH01,289,308
2024-11-11,PRD001,WH01,212,308
2024-11-18,PRD001,WH01,213,308
2024-11-25,PRD001,WH01,260,308
2024-12-02,PRD001,WH01,271,308
2024-12-09,PRD001,WH01,227,308
2024-12-16,PRD001,WH01,174,308
2024-12-23,PRD001,WH01,207,308
2024-12-30,PRD001,WH01,215,308
2025-01-06,PRD001,WH01,300,308
2025-01-13,PRD001,WH01,233,308
2025-01-20,PRD001,WH01,237,308
2025-01-27,PRD001,WH01,196,308
2025-02-03,PRD001,WH01,109,308
2025-02-10,PRD001,WH01,0,308
2025-02-17,PRD001,WH01,0,308
2025-02-24,PRD001,WH01,0,308
2025-03-03,PRD001,WH01,0,308
2025-03-10,PRD001,WH01,0,308
2025-03-17,PRD001,WH01,96,308
2025-03-24,PRD001,WH01,3,308
2025-03-31,PRD001,WH01,27,308
2025-04-07,PRD001,WH01,0,308
2025-04-14,PRD001,WH01,0,308
2025-04-21,PRD001,WH01,0,308
2025-04-28,PRD001,WH01,48,308
2025-05-05,PRD001,WH01,136,308
2025-05-12,PRD001,WH01,189,308
2025-05-19,PRD001,WH01,200,308
2025-05-26,PRD001,WH01,218,308
2025-06-02,PRD001,WH01,155,308
2025-06-09,PRD001,WH01,73,308
2025-06-16,PRD001,WH01,94,308
2025-06-23,PRD001,WH01,5,308
2025-06-30,PRD001,WH01,7,308
2025-07-07,PRD001,WH01,0,308
2025-07-14,PRD001,WH01,88,308
2025-07-21,PRD001,WH01,78,308
2025-07-28,PRD001,WH01,112,308
2025-08-04,PRD001,WH01,37,308
2025-08-11,PRD001,WH01,130,308
2025-08-18,PRD001,WH01,113,308
2025-08-25,PRD001,WH01,122,308
2025-09-01,PRD001,WH01,64,308
2025-09-08,PRD001,WH01,48,308
2025-09-15,PRD001,WH01,133,308
2025-09-22,PRD001,WH01,57,308
2025-09-29,PRD001,WH01,102,308
2025-10-06,PRD001,WH01,112,308
2025-10-13,PRD001,WH01,91,308
2025-10-20,PRD001,WH01,9,308
2025-10-27,PRD001,WH01,0,308
2025-11-03,PRD001,WH01,94,308
2025-11-10,PRD001,WH01,158,308
2025-11-17,PRD001,WH01,58,308
2025-11-24,PRD001,WH01,6,308
2025-12-01,PRD001,WH01,74,308
2025-12-08,PRD001,WH01,79,308
2025-12-15,PRD001,WH01,161,308
2025-12-22,PRD001,WH01,66,308
2025-12-29,PRD001,WH01,64,308
2024-01-01,PRD002,WH01,380,460
2024-01-08,PRD002,WH01,274,460
2024-01-15,PRD002,WH01,257,460
2024-01-22,PRD002,WH01,222,460
2024-01-29,PRD002,WH01,169,460
2024-02-05,PRD002,WH01,93,460
