ShipmentID,SupplierID,ProductID,WarehouseID,OrderDate,ExpectedDate,ActualDeliveryDate,OrderQty,ReceivedQty,DefectQty,UnitCost,TotalCost,OrderPriority,ShippingMode
SHP000001,SUP018,PRD008,WH02,2025-10-02,2025-10-22,2025-10-22,761,747,20,73.54,55963.94,Medium,Road
SHP000002,SUP013,PRD001,WH04,2025-04-17,2025-05-01,2025-05-03,25,25,0,24.96,624.0,High,Road
SHP000003,SUP018,PRD001,WH06,2024-05-30,2024-06-03,2024-06-11,187,185,2,24.15,4516.05,Medium,Road
SHP000004,SUP015,PRD022,WH01,2025-02-18,2025-03-07,2025-03-14,428,423,21,65.95,28226.6,High,Rail
SHP000005,SUP004,PRD008,WH02,2024-10-24,2024-11-13,2024-11-11,132,132,3,10.5,1386.0,Medium,Road
SHP000006,SUP017,PRD025,WH05,2025-09-02,2025-09-06,2025-09-04,64,64,1,77.0,4928.0,Low,Sea
SHP000007,SUP005,PRD014,WH04,2024-09-19,2024-09-23,2024-09-24,418,415,1,94.74,39601.32,Medium,Rail
SHP000008,SUP016,PRD011,WH05,2024-05-23,2024-06-01,2024-06-04,537,531,16,35.28,18945.36,Medium,Road
SHP000009,SUP009,PRD016,WH02,2024-12-11,2024-12-23,2024-12-26,87,87,1,117.88,10255.56,Low,Rail
SHP000010,SUP010,PRD018,WH04,2025-09-15,2025-09-18,2025-09-19,142,141,1,4.39,623.38,High,Road
SHP000011,SUP018,PRD013,WH04,2025-07-25,2025-08-11,2025-08-12,694,685,17,85.65,59441.1,Medium,Rail
SHP000012,SUP017,PRD005,WH05,2024-01-02,2024-01-17,2024-01-19,809,804,17,40.0,32360.0,Medium,Rail
SHP000013,SUP018,PRD010,WH03,2024-10-30,2024-11-09,2024-11-08,989,975,27,46.77,46255.53,Medium,Sea
SHP000014,SUP007,PRD022,WH05,2024-09-10,2024-09-14,2024-09-17,972,959,0,117.31,114025.32,Low,Road
SHP000015,SUP004,PRD013,WH03,2025-10-13,2025-10-29,2025-10-30,924,916,17,56.66,52353.84,Medium,Road
SHP000016,SUP005,PRD005,WH06,2025-03-28,2025-04-04,2025-04-06,191,189,0,12.64,2414.24,Low,Sea
SHP000017,SUP016,PRD025,WH06,2024-02-06,2024-02-19,2024-02-17,456,455,8,13.15,5996.4,Medium,Rail
SHP000018,SUP003,PRD008,WH03,2024-06-08,2024-06-11,2024-06-09,877,874,0,123.46,108274.42,Medium,Sea
SHP000019,SUP018,PRD010,WH01,2024-01-09,2024-01-25,2024-01-27,615,608,14,111.25,68418.75,Medium,Road
SHP000020,SUP014,PRD004,WH02,2024-08-20,2024-08-29,2024-09-04,274,271,12,109.0,29866.0,High,Road
SHP000021,SUP015,PRD011,WH04,2024-04-08,2024-04-11,2024-04-14,884,872,29,43.22,38206.48,High,Road
SHP000022,SUP017,PRD014,WH01,2025-10-20,2025-10-29,2025-10-31,205,202,4,25.44,5215.2,Medium,Rail
SHP000023,SUP001,PRD021,WH01,2024-07-26,2024-08-15,2024-08-16,169,169,2,9.06,1531.14,Low,Sea
SHP000024,SUP017,PRD014,WH05,2024-05-10,2024-05-24,2024-05-26,317,316,6,41.4,13123.8,Medium,Road
